'Savestate version is found in /PCSX2/SaveState.h, it's a const named g_saveversion
'The code responsible for the header is /PCSX2/gui/SysState.cpp
'WxSavestates implemented in r4132
'savestate version	min pcsx2 revision
0x9A0A0000	5404
0x9A090000	5380
0x9A080000	5224
0x9A070000	5149
0x9A060000	4962
0x9A050000	4942
0x9A040000	4941
0x9A030000	4865
0x9A020000	4821
0x9A010000	4132
0x8B4C0000	3833
0x8B4B0000	3788
0x8B4A0000	3764
0x8B490000	3726
0x8B480000	3587
0x8B470000	3578
0x8B460001	3331
0x8B460000	3308
0x8B450000	3305
0x8B440000	3280
0x8B430000	2955
0x8B420000	2671
0x8B410004	2669
0x8B410003	1892
0x8B410002	1832
0x8B410001	854
0x8B410000	815
0x8B400006	701
0x8B400005	677
0x8B400004	538
0x8B400003	532
0x8B400002	426
